w,age,annuity,age_bin,db_pension,stock_owner
243.94646926050322,57,0,55–64,0,1
240.74390544966516,57,0,55–64,0,1
20419.125218472953,41,0,40–54,0,0
19976.264576932634,41,0,40–54,0,0
20123.308083498625,41,0,40–54,0,0
20117.287110441528,41,0,40–54,0,0
19889.247564165387,41,0,40–54,0,0
66560.72653294535,19,0,18–39,0,0
67068.72247626635,19,0,18–39,0,0
67060.4600792002,19,0,18–39,0,0
67758.8732787242,19,0,18–39,0,0
67224.88621683214,19,0,18–39,0,0
9855.01366450149,51,0,40–54,0,1
9663.579067085702,51,0,40–54,0,1
9681.55144947382,51,0,40–54,0,1
9934.026069954652,51,0,40–54,0,1
9657.293466927358,51,0,40–54,0,1
31430.250571564713,62,0,55–64,0,0
31670.985025148137,62,0,55–64,0,0
33640.07685568561,62,0,55–64,0,0
32560.010966616523,62,0,55–64,0,0
34231.60168593082,62,0,55–64,0,0
38508.098086872276,68,0,65–74,1,1
45324.151282783394,68,0,65–74,1,1
32482.400494965557,68,0,65–74,1,1
38887.78751308573,68,0,65–74,1,1
35027.40285645361,68,0,65–74,1,1
56821.67882845934,23,0,18–39,0,0
58724.672070427194,23,0,18–39,0,0
56942.18811789495,23,0,18–39,0,0
58615.11014355858,23,0,18–39,0,0
57345.30625716076,23,0,18–39,0,0
39642.40073466556,52,0,40–54,0,1
39795.57189261287,52,0,40–54,0,1
42844.76054346971,52,0,40–54,0,1
40881.4154450629,52,0,40–54,0,1
43514.49263457199,52,0,40–54,0,1
61768.81364055616,42,0,40–54,0,0
58367.842173589255,42,0,40–54,0,0
58493.92463397271,42,0,40–54,0,0
59529.27157630427,42,0,40–54,0,0
57784.65328474531,42,0,40–54,0,0
17361.198444149257,42,0,40–54,0,1
17857.52387081394,42,0,40–54,0,1
18604.50608278151,42,0,40–54,0,1
17877.813731691716,42,0,40–54,0,1
17481.221894868897,42,0,40–54,0,1
11149.217006932231,50,0,40–54,0,0
11185.552821336398,50,0,40–54,0,0
12028.221267468245,50,0,40–54,0,0
11484.501280382003,50,0,40–54,0,0
12208.98666674141,50,0,40–54,0,0
19719.21051073609,49,0,40–54,0,1
19754.806300477576,49,0,40–54,0,1
19826.591169881405,49,0,40–54,0,1
19875.883924168353,49,0,40–54,0,1
19784.3916360449,49,0,40–54,0,1
8542.849672183484,55,0,40–54,1,1
8589.080719592192,55,0,40–54,1,1
8456.646011279474,55,0,40–54,1,1
8598.94921399731,55,0,40–54,1,1
8477.809079059549,55,0,40–54,1,1
222.53917852409438,67,0,65–74,0,1
222.43091349497658,67,0,65–74,0,1
223.45176340181214,67,0,65–74,0,1
226.20422971513406,67,0,65–74,0,1
226.38932857547618,67,0,65–74,0,1
31899.834542214223,60,0,55–64,0,0
31838.82450348852,60,0,55–64,0,0
34688.561629614924,60,0,55–64,0,0
32640.701566126903,60,0,55–64,0,0
35167.98247779705,60,0,55–64,0,0
79880.16704758837,52,0,40–54,0,1
75841.86009280098,52,0,40–54,0,1
76337.26954751078,52,0,40–54,0,1
77228.79959764764,52,0,40–54,0,1
75501.91285172373,52,0,40–54,0,1
11000.523344565949,69,0,65–74,0,0
10539.594189795293,69,0,65–74,0,0
11201.737293425393,69,0,65–74,0,0
10992.767072452085,69,0,65–74,0,0
11173.137296860625,69,0,65–74,0,0
13659.24635666822,73,0,65–74,0,0
13802.344514215903,73,0,65–74,0,0
13608.21611249467,73,0,65–74,0,0
13705.273505125893,73,0,65–74,0,0
13470.50736857705,73,0,65–74,0,0
57809.78468032325,68,0,65–74,0,0
58092.55965274137,68,0,65–74,0,0
57224.034602764004,68,0,65–74,0,0
58137.56808670791,68,0,65–74,0,0
57369.75409921221,68,0,65–74,0,0
11369.59263651811,36,0,18–39,0,0
10886.165944338072,36,0,18–39,0,0
10798.159398554426,36,0,18–39,0,0
10840.202808535578,36,0,18–39,0,0
10701.23795967518,36,0,18–39,0,0
8510.805516499668,53,0,40–54,0,0
8571.369642255506,53,0,40–54,0,0
8455.750996158626,53,0,40–54,0,0
8632.93575859222,53,0,40–54,0,0
8455.463216074964,53,0,40–54,0,0
44241.11006358679,81,0,75+,0,0
44382.19842302337,81,0,75+,0,0
47794.465871241206,81,0,75+,0,0
45557.416143626375,81,0,75+,0,0
48539.725572551695,81,0,75+,0,0
54059.49622411665,61,0,55–64,0,0
54583.72192914481,61,0,55–64,0,0
54748.651894362854,61,0,55–64,0,0
54139.6862802804,61,0,55–64,0,0
54562.81312251112,61,0,55–64,0,0
12206.026159766305,55,0,40–54,0,1
13381.945438077908,55,0,40–54,0,1
14508.643879053892,55,0,40–54,0,1
12998.089717362194,55,0,40–54,0,1
12572.377854952925,55,0,40–54,0,1
305.71045502800825,61,0,55–64,0,1
300.463400359389,61,0,55–64,0,1
309.2522149431142,61,0,55–64,0,1
308.80067922681593,61,0,55–64,0,1
302.3739129359688,61,0,55–64,0,1
53125.44412965344,56,0,55–64,0,1
53322.82535205374,56,0,55–64,0,1
57397.90867411626,56,0,55–64,0,1
54747.899896135525,56,0,55–64,0,1
58283.846464422895,56,0,55–64,0,1
13973.266873924,39,0,18–39,0,1
16346.710492840868,39,0,18–39,0,1
11726.844760298032,39,0,18–39,0,1
13912.426794483043,39,0,18–39,0,1
12614.683727165855,39,0,18–39,0,1
16691.43038076962,50,0,40–54,0,0
16712.072845640952,50,0,40–54,0,0
16660.387914770097,50,0,40–54,0,0
16717.769162607925,50,0,40–54,0,0
16659.007377831895,50,0,40–54,0,0
21799.17854211878,57,0,55–64,0,1
23801.962687936826,57,0,55–64,0,1
25965.94442732598,57,0,55–64,0,1
23045.70600355318,57,0,55–64,0,1
22463.263735640772,57,0,55–64,0,1
9056.620813264353,39,0,18–39,0,0
9214.228140513369,39,0,18–39,0,0
9097.711271960754,39,0,18–39,0,0
9148.237530685805,39,0,18–39,0,0
9119.706556419593,39,0,18–39,0,0
46477.930397648524,25,0,18–39,0,1
45057.0163089688,25,0,18–39,0,1
45956.50471923606,25,0,18–39,0,1
45492.55793506765,25,0,18–39,0,1
45355.02874831058,25,0,18–39,0,1
61722.149149103105,54,0,40–54,0,0
58984.147843610364,54,0,40–54,0,0
60236.70502982688,54,0,40–54,0,0
60172.56090810484,54,0,40–54,0,0
59342.84436138999,54,0,40–54,0,0
67429.80746954979,58,0,55–64,1,1
64761.47421876555,58,0,55–64,1,1
65650.8084005887,58,0,55–64,1,1
65341.85981033742,58,0,55–64,1,1
65005.28118247636,58,0,55–64,1,1
37716.35787437899,34,0,18–39,0,0
39221.67454121576,34,0,18–39,0,0
38645.38136014559,34,0,18–39,0,0
37754.175078360124,34,0,18–39,0,0
39367.99770956644,34,0,18–39,0,0
53698.989910760196,63,0,55–64,0,0
51574.01275763523,63,0,55–64,0,0
52282.25068755342,63,0,55–64,0,0
52036.21369214396,63,0,55–64,0,0
51768.17299886669,63,0,55–64,0,0
631.2046817454113,65,1,55–64,0,0
662.393070923413,65,1,55–64,0,0
694.1637541662956,65,1,55–64,0,0
663.3481602851018,65,1,55–64,0,0
642.6124423289094,65,1,55–64,0,0
8537.692188095214,58,0,55–64,0,1
9097.040222001646,58,0,55–64,0,1
9489.801582071697,58,0,55–64,0,1
9122.384311857819,58,0,55–64,0,1
8598.480623062393,58,0,55–64,0,1
37924.36790570461,50,0,40–54,0,1
38216.098693516775,50,0,40–54,0,1
38220.756003671726,50,0,40–54,0,1
38598.489277326655,50,0,40–54,0,1
38310.37970165076,50,0,40–54,0,1
38145.50893900708,53,0,40–54,0,1
38270.42058427941,53,0,40–54,0,1
41235.44777014478,53,0,40–54,0,1
39313.34430605302,53,0,40–54,0,1
41865.56961307071,53,0,40–54,0,1
12230.788835478117,37,0,18–39,0,1
12279.827090256766,37,0,18–39,0,1
13217.94232073709,37,0,18–39,0,1
12611.63253444773,37,0,18–39,0,1
13421.942106511453,37,0,18–39,0,1
70656.93871207311,35,0,18–39,0,1
68129.3667828339,35,0,18–39,0,1
67462.1086240382,35,0,18–39,0,1
68458.8274396435,35,0,18–39,0,1
67027.85320370653,35,0,18–39,0,1
49250.070280666245,33,0,18–39,0,1
51031.97731981815,33,0,18–39,0,1
46623.20730383562,33,0,18–39,0,1
48482.25462535753,33,0,18–39,0,1
48293.92467512216,33,0,18–39,0,1
78678.53004940851,90,0,75+,1,0
78753.38415822637,90,0,75+,1,0
78612.94860735763,90,0,75+,1,0
78721.83829698474,90,0,75+,1,0
78655.48796456779,90,0,75+,1,0
44615.50074772211,74,0,65–74,1,0
45082.90544841775,74,0,65–74,1,0
44448.819524056365,74,0,65–74,1,0
45005.285699051026,74,0,65–74,1,0
45138.048356097475,74,0,65–74,1,0
46579.96611673109,44,0,40–54,1,1
46396.887133129436,44,0,40–54,1,1
46575.542924083406,44,0,40–54,1,1
46763.221390764505,44,0,40–54,1,1
46647.52702494259,44,0,40–54,1,1
65618.31884879424,37,0,18–39,0,1
64132.438213193615,37,0,18–39,0,1
63177.24120906238,37,0,18–39,0,1
64667.83506870138,37,0,18–39,0,1
62726.09721816685,37,0,18–39,0,1
37562.169796338414,63,0,55–64,0,0
37701.72753767822,63,0,55–64,0,0
40583.001740374246,63,0,55–64,0,0
38709.321786991255,63,0,55–64,0,0
41209.40112872149,63,0,55–64,0,0
7333.134869029659,58,0,55–64,0,0
7383.557879131851,58,0,55–64,0,0
7406.845413912709,58,0,55–64,0,0
7401.684003848315,58,0,55–64,0,0
7418.092560593745,58,0,55–64,0,0
66352.96702274012,38,0,18–39,0,1
69582.65257645222,38,0,18–39,0,1
75438.3315848046,38,0,18–39,0,1
68655.40049431662,38,0,18–39,0,1
76617.55328941182,38,0,18–39,0,1
54161.095436590644,80,0,75+,0,0
54333.81940507728,80,0,75+,0,0
58511.204254880366,80,0,75+,0,0
55772.55091594734,80,0,75+,0,0
59423.57019121668,80,0,75+,0,0
249.153603949371,71,0,65–74,0,1
253.21735277009793,71,0,65–74,0,1
255.02602144572538,71,0,65–74,0,1
260.04746550997737,71,0,65–74,0,1
250.86889270725132,71,0,65–74,0,1
44701.33016779385,55,0,40–54,0,0
44528.542636662074,55,0,40–54,0,0
44894.32213412759,55,0,40–54,0,0
44012.45598106995,55,0,40–54,0,0
44773.653190687175,55,0,40–54,0,0
7779.5650944242325,51,0,40–54,0,0
7858.025159085063,51,0,40–54,0,0
7877.376655813325,51,0,40–54,0,0
7890.822422787672,51,0,40–54,0,0
7886.465326764017,51,0,40–54,0,0
78237.13825463333,47,0,40–54,0,1
74281.8939028267,47,0,40–54,0,1
74767.11344396377,47,0,40–54,0,1
75640.30590673316,47,0,40–54,0,1
73948.93892435753,47,0,40–54,0,1
32755.43518810908,73,0,65–74,0,0
32864.98906665502,73,0,65–74,0,0
35392.21628622975,73,0,65–74,0,0
32690.218254917218,73,0,65–74,0,0
35930.874939953865,73,0,65–74,0,0
81491.46846937016,72,0,65–74,1,1
78549.66257496887,72,0,65–74,1,1
79813.62216547395,72,0,65–74,1,1
77644.69136163077,72,0,65–74,1,1
76560.23783706996,72,0,65–74,1,1
4556.676789193294,55,1,40–54,0,0
4699.013869425288,55,1,40–54,0,0
4875.373769661125,55,1,40–54,0,0
4695.845221263642,55,1,40–54,0,0
4642.070939852081,55,1,40–54,0,0
8818.862741474373,55,0,40–54,0,0
8739.37581652738,55,0,40–54,0,0
8730.20410195335,55,0,40–54,0,0
8887.174326822245,55,0,40–54,0,0
8711.901337628507,55,0,40–54,0,0
15181.32659241306,38,0,18–39,0,1
15655.741743941211,38,0,18–39,0,1
15176.318893994596,38,0,18–39,0,1
15529.65856612041,38,0,18–39,0,1
15295.083979371288,38,0,18–39,0,1
213.66691635075694,67,0,65–74,1,1
220.25602134250374,67,0,65–74,1,1
234.45594340764993,67,0,65–74,1,1
221.12511327287612,67,0,65–74,1,1
213.8857044250718,67,0,65–74,1,1
2140.9293769740448,46,0,40–54,0,1
2230.712979290567,46,0,40–54,0,1
2319.017484751386,46,0,40–54,0,1
2235.704235876379,46,0,40–54,0,1
2179.389735865744,46,0,40–54,0,1
15815.667777624885,43,0,40–54,0,1
15646.889453617803,43,0,40–54,0,1
16166.264243058347,43,0,40–54,0,1
16171.283399617469,43,0,40–54,0,1
16895.14966336607,43,0,40–54,0,1
240.1213844753166,55,0,40–54,0,1
238.02462855912663,55,0,40–54,0,1
239.8898954940649,55,0,40–54,0,1
244.75387987687358,55,0,40–54,0,1
241.54071626506965,55,0,40–54,0,1
9588.238586632036,37,0,18–39,0,0
9548.367578737692,37,0,18–39,0,0
9410.961481828032,37,0,18–39,0,0
9685.927539502869,37,0,18–39,0,0
9430.148520128101,37,0,18–39,0,0
330.2534292879707,64,0,55–64,0,0
326.96215128817806,64,0,55–64,0,0
336.2846706913679,64,0,55–64,0,0
335.6215293499377,64,0,55–64,0,0
327.0537614115773,64,0,55–64,0,0
60261.119337551274,38,0,18–39,0,1
58105.43135504741,38,0,18–39,0,1
57536.34749337606,38,0,18–39,0,1
58386.41816708487,38,0,18–39,0,1
57165.984466268084,38,0,18–39,0,1
75554.40672580054,44,0,40–54,0,1
72851.6403584569,44,0,40–54,0,1
72138.1323118346,44,0,40–54,0,1
73203.93703191135,44,0,40–54,0,1
71673.77720038086,44,0,40–54,0,1
8638.807252592469,60,0,55–64,0,1
9204.779853334867,60,0,55–64,0,1
9602.19283229449,60,0,55–64,0,1
9230.424102674882,60,0,55–64,0,1
8700.315627607502,60,0,55–64,0,1
2147.409336203765,60,0,55–64,0,1
2208.4591630395275,60,0,55–64,0,1
2354.062786885269,60,0,55–64,0,1
2216.8900966138985,60,0,55–64,0,1
2146.7036961369954,60,0,55–64,0,1
47636.79795520347,62,0,55–64,0,0
47707.134632514986,62,0,55–64,0,0
47601.68303094797,62,0,55–64,0,0
47699.450152746525,62,0,55–64,0,0
47620.03213907272,62,0,55–64,0,0
22614.08721631169,31,0,18–39,0,1
23126.499802866158,31,0,18–39,0,1
22416.740841715327,31,0,18–39,0,1
22984.490359528074,31,0,18–39,0,1
22428.764337325163,31,0,18–39,0,1
38057.94566636608,57,0,55–64,0,1
39906.18799778554,57,0,55–64,0,1
40947.63586095608,57,0,55–64,0,1
39383.6841545061,57,0,55–64,0,1
39210.28525268604,57,0,55–64,0,1
12349.747793541059,58,0,55–64,0,0
11853.897752560182,58,0,55–64,0,0
12002.328651853715,58,0,55–64,0,0
11750.641281694578,58,0,55–64,0,0
11877.255094272916,58,0,55–64,0,0
20088.95424310811,50,0,40–54,0,1
20625.006752518602,50,0,40–54,0,1
18721.76394131579,50,0,40–54,0,1
19356.23795943847,50,0,40–54,0,1
19769.780482489423,50,0,40–54,0,1
38445.36409467402,70,0,65–74,0,1
35228.24012721021,70,0,65–74,0,1
36476.78361186745,70,0,65–74,0,1
35911.74051163564,70,0,65–74,0,1
35217.36238202736,70,0,65–74,0,1
48922.39554809542,41,0,40–54,0,0
47861.34110789256,41,0,40–54,0,0
48213.64418229132,41,0,40–54,0,0
48199.218470007734,41,0,40–54,0,0
47652.85613743155,41,0,40–54,0,0
39160.43193520219,51,0,40–54,0,1
39036.7288263719,51,0,40–54,0,1
42862.479745111,51,0,40–54,0,1
40035.19996864503,51,0,40–54,0,1
43391.743850564344,51,0,40–54,0,1
9995.209269507444,49,0,40–54,0,0
9958.199985307978,49,0,40–54,0,0
10018.700930073248,49,0,40–54,0,0
10091.360186877915,49,0,40–54,0,0
10029.800621035454,49,0,40–54,0,0
15058.578157098631,47,0,40–54,0,1
14390.577978533885,47,0,40–54,0,1
14696.168929997886,47,0,40–54,0,1
14680.519454346337,47,0,40–54,0,1
14478.09047805193,47,0,40–54,0,1
8306.61280508444,52,0,40–54,0,1
16767.361725672767,52,0,40–54,0,1
7956.489109792658,52,0,40–54,0,1
17307.433822610972,52,0,40–54,0,1
17675.986352468655,52,0,40–54,0,1
5700.2562288820955,53,0,40–54,0,1
5683.464856200382,53,0,40–54,0,1
6130.277690922578,53,0,40–54,0,1
5788.809989941155,53,0,40–54,0,1
6209.774106748595,53,0,40–54,0,1
9490.870128097436,77,0,75+,1,1
9490.520753969677,77,0,75+,1,1
9557.900392668585,77,0,75+,1,1
9628.285463691367,77,0,75+,1,1
9536.365754375654,77,0,75+,1,1
818.5563447450585,58,1,55–64,0,1
855.6813040721527,58,1,55–64,0,1
888.9151946486224,58,1,55–64,0,1
860.263155311363,58,1,55–64,0,1
833.2148567713099,58,1,55–64,0,1
8673.307500672969,52,0,40–54,0,1
8647.758344147513,52,0,40–54,0,1
9327.612890186578,52,0,40–54,0,1
8808.047759560764,52,0,40–54,0,1
9448.571814132285,52,0,40–54,0,1
293.6941103688955,76,0,75+,1,1
296.97860501137757,76,0,75+,1,1
298.411955950845,76,0,75+,1,1
304.74666879697224,76,0,75+,1,1
296.63305120045055,76,0,75+,1,1
13971.866849241871,40,0,18–39,0,1
14806.952018547958,40,0,18–39,0,1
15266.672456868657,40,0,18–39,0,1
14679.152715273172,40,0,18–39,0,1
14075.640137944492,40,0,18–39,0,1
2047.4589249442856,81,0,75+,0,1
2113.0177236112195,81,0,75+,0,1
2200.3950122518686,81,0,75+,0,1
2120.4771302208387,81,0,75+,0,1
2088.0582492037124,81,0,75+,0,1
31438.417649327184,56,0,55–64,1,1
31555.22332328655,56,0,55–64,1,1
33966.764036661945,56,0,55–64,1,1
32398.549707324455,56,0,55–64,1,1
34491.04167272289,56,0,55–64,1,1
1737.734056616634,48,0,40–54,0,1
1833.634063693096,48,0,40–54,0,1
1670.2440342296854,48,0,40–54,0,1
1731.5339542268728,48,0,40–54,0,1
1686.6901561757827,48,0,40–54,0,1
93144.15979104281,30,0,18–39,0,0
92800.30590672485,30,0,18–39,0,0
91461.00686731927,30,0,18–39,0,0
94186.76309064015,30,0,18–39,0,0
91338.12674850784,30,0,18–39,0,0
71905.44630669581,47,0,40–54,0,1
68270.29787574137,47,0,40–54,0,1
68716.24884532615,47,0,40–54,0,1
69518.77428462233,47,0,40–54,0,1
67964.28877493629,47,0,40–54,0,1
25346.895588225405,62,0,55–64,1,1
25446.54606481074,62,0,55–64,1,1
27394.699009890035,62,0,55–64,1,1
26139.708660519787,62,0,55–64,1,1
27815.65113606379,62,0,55–64,1,1
268.96558543518756,65,0,55–64,0,1
258.1063270687588,65,0,55–64,0,1
264.78765851725586,65,0,55–64,0,1
261.8267321178821,65,0,55–64,0,1
268.2005347567405,65,0,55–64,0,1
94627.26754694575,24,0,18–39,0,1
93542.91642784026,24,0,18–39,0,1
94147.69207997115,24,0,18–39,0,1
94606.71087328135,24,0,18–39,0,1
93289.57093023369,24,0,18–39,0,1
301.3250134043119,48,0,40–54,0,1
296.7269874405157,48,0,40–54,0,1
306.1073432723715,48,0,40–54,0,1
305.83463882924536,48,0,40–54,0,1
298.20912312722845,48,0,40–54,0,1
49318.75290486209,66,0,65–74,0,0
43934.26350598094,66,0,65–74,0,0
44904.018654516745,66,0,65–74,0,0
46541.30067645357,66,0,65–74,0,0
44259.81409289372,66,0,65–74,0,0
64060.3441363302,39,0,18–39,0,0
62609.742741292575,39,0,18–39,0,0
61677.22496460826,39,0,18–39,0,0
63132.42767768007,39,0,18–39,0,0
61236.79247839352,39,0,18–39,0,0
11513.335459272985,42,0,40–54,0,0
11263.628232679872,42,0,40–54,0,0
11346.538798146727,42,0,40–54,0,0
11343.14386903709,42,0,40–54,0,0
11214.563640150373,42,0,40–54,0,0
15344.78483678384,31,0,18–39,0,1
15512.122932548973,31,0,18–39,0,1
15471.980630736176,31,0,18–39,0,1
15494.215205413073,31,0,18–39,0,1
15512.561337814623,31,0,18–39,0,1
23578.89039045463,74,0,65–74,1,0
23727.527303606545,74,0,65–74,1,0
23716.0324871243,74,0,65–74,1,0
23758.047583518553,74,0,65–74,1,0
23717.948979461144,74,0,65–74,1,0
91456.41746974952,84,0,75+,0,0
86940.99647358998,84,0,75+,0,0
85855.42428888475,84,0,75+,0,0
89107.43025601681,84,0,75+,0,0
84984.81113806624,84,0,75+,0,0
41511.846625379985,37,0,18–39,0,1
40571.840082530114,37,0,18–39,0,1
39967.557738389434,37,0,18–39,0,1
40910.54598873845,37,0,18–39,0,1
39682.15237469564,37,0,18–39,0,1
76677.98932561043,52,0,40–54,0,0
49445.54667650615,52,0,40–54,0,0
73759.52389942874,52,0,40–54,0,0
75318.4570975284,52,0,40–54,0,0
72857.39770616298,52,0,40–54,0,0
9052.741323506858,52,0,40–54,0,1
9336.110134318142,52,0,40–54,0,1
9962.841907996948,52,0,40–54,0,1
9350.38694300852,52,0,40–54,0,1
8950.596618215983,52,0,40–54,0,1
75452.71840320904,75,0,65–74,1,0
69583.49753573441,75,0,65–74,1,0
70108.9108952127,75,0,65–74,1,0
72237.69614700422,75,0,65–74,1,0
68691.21358482484,75,0,65–74,1,0
3276.818099015521,62,0,55–64,0,1
3528.90272738895,62,0,55–64,0,1
3223.5259894906685,62,0,55–64,0,1
3301.105614723826,62,0,55–64,0,1
3227.8877298510324,62,0,55–64,0,1
8987.470618629335,32,0,18–39,0,1
8898.060308067123,32,0,18–39,0,1
8867.908518286085,32,0,18–39,0,1
9173.447790534912,32,0,18–39,0,1
8528.298090648701,32,0,18–39,0,1
10251.734173669916,63,0,55–64,0,0
10187.032218486707,63,0,55–64,0,0
10324.704154538973,63,0,55–64,0,0
10459.405713121692,63,0,55–64,0,0
10307.516690909215,63,0,55–64,0,0
3829.811402668861,64,0,55–64,0,1
3849.7830306584874,64,0,55–64,0,1
3838.8005238584815,64,0,55–64,0,1
3887.2236238236314,64,0,55–64,0,1
3889.3830374010654,64,0,55–64,0,1
226.6563077559919,79,0,75+,1,1
228.67845039255604,79,0,75+,1,1
230.47717631333742,79,0,75+,1,1
235.13579159024397,79,0,75+,1,1
227.93429047928907,79,0,75+,1,1
8604.439517403223,50,0,40–54,0,1
9150.43270997253,50,0,40–54,0,1
9523.644794380118,50,0,40–54,0,1
9149.701493700391,50,0,40–54,0,1
8660.682097192486,50,0,40–54,0,1
30454.466967532637,45,0,40–54,0,1
30266.1250622252,45,0,40–54,0,1
30567.90339235695,45,0,40–54,0,1
30182.355556554274,45,0,40–54,0,1
30573.47630243704,45,0,40–54,0,1
63906.02103781234,52,0,40–54,1,1
58974.16338331497,52,0,40–54,1,1
60146.183885738414,52,0,40–54,1,1
61071.52218765522,52,0,40–54,1,1
58953.50426963735,52,0,40–54,1,1
4413.459736616481,71,0,65–74,0,0
5159.693703325512,71,0,65–74,0,0
3703.2019161776702,71,0,65–74,0,0
4388.708194170508,71,0,65–74,0,0
3982.732219818402,71,0,65–74,0,0
14331.49073781774,39,0,18–39,0,0
13908.976098806843,39,0,18–39,0,0
13973.943154961624,39,0,18–39,0,0
14001.776526373946,39,0,18–39,0,0
13829.299705261092,39,0,18–39,0,0
63242.68005768213,47,0,40–54,0,1
60045.47399069705,47,0,40–54,0,1
60437.69928014967,47,0,40–54,0,1
